"id","title","date_or_version","source_type","authors_or_group","reading_scope","finding_and_limit","url"
"R01","McMining: Automated Discovery of Misconceptions in Student Code","2026-03","EACL 2026 short paper","UNC Charlotte","Bài chính và các bảng/phụ lục liên quan trong PDF xuất bản","Benchmark injection Python; 339 bags; Table 2 accuracy 81.4%; đánh giá bằng judge; không phải lớp thật","https://aclanthology.org/2026.eacl-short.10/"
"R02","McMining official published PDF","2026-03","Published full text","UNC Charlotte","Tables 1–3,8; task, evaluation, limitations","Dùng số bản xuất bản; một số số liệu subset ở main/appendix cần kiểm tra records khi tái lập","https://aclanthology.org/2026.eacl-short.10.pdf"
"R03","McMiner code and data","snapshot accessed 2026-09-26","Official repository","UNC Charlotte","README và danh mục file qua GitHub API","67 misconceptions; synthetic injection; Python baseline adaptation sang C là task khác","https://github.com/taisazero/mcminer"
"R04","Toward Semi-Automatic Misconception Discovery Using Code Embeddings","2021-04","LAK 2021","NC State","Abstract và phần đầu PDF tác giả","Embedding + clustering bài sai đã có; nghiên cứu block-based","https://isnap.csc.ncsu.edu/home/public/papers/ShiLAK2021.pdf"
"R05","Identifying and Correcting Programming Language Behavior Misconceptions","2024-04","OOPSLA1","Brown","Các phần đầu, task, semantic model và đóng góp trong PDF tác giả","Misconception interpreter/tracing instrument; không hoán đổi chứng cứ với code đơn lẻ","https://cs.brown.edu/people/sk/Publications/Papers/Published/lk-smol-tutor/paper.pdf"
"R06","Conceptual Mutation Testing for Student Programming Misconceptions","2023-10-15; volume 2024","Programming vol.8 issue2 article7","Brown","Trang xuất bản, abstract, phần đầu và workflow được trích trong PDF","Input là ví dụ/test sai của sinh viên; conceptual mutants không phải idea mới","https://programming-journal.org/2024/8/7/"
"R07","Automated Identification of Logical Errors in Programs: Advancing Scalable Analysis of Student Misconceptions","2025","EDM 2025","NC State; UC Berkeley","Bài HTML: task, related work, phương pháp và phạm vi annotation","SANN học correctness; attention không xác nhận nguyên nhân nhận thức","https://educationaldatamining.org/edm2025/proceedings/2025.EDM.long-papers.85/index.html"
"R08","Learning Code-Edit Embedding to Model Student Debugging Behavior","2025; arXiv 2502.19407","AIED 2025; author manuscript","UMass Amherst","Abstract, introduction và phương pháp encoder/contrastive loss","CodeT5 và test-mask-conditioned edit embedding đã có","https://arxiv.org/html/2502.19407"
"R09","InvAASTCluster: On Applying Invariant-Based Program Clustering to Introductory Programming Assignments","2025","Journal of Systems and Software","INESC-ID/IST; CTU","Author page, HTML dataset/experiments, repo README","Invariants + AAST; similarity/repair task khác misconception diagnosis","https://pmorvalho.github.io/publications/jss2025/"
"R10","InvAASTCluster implementation","snapshot accessed 2026-09-26","Official repository","Orvalho et al.","README qua GitHub CLI","Cần Clara/Daikon/runsolver; đối chiếu coverage khi tái lập","https://github.com/pmorvalho/InvAASTCluster"
"R11","Pattern-based Knowledge Component Extraction from Student Code Using Representation Learning","2026","EDM 2026","NC State; UMass Amherst; University of Pittsburgh","HTML phương pháp, dữ liệu, experiments, results, discussion","SANN+VAE+clustering+KT; KC không đồng nghĩa misconception; phải khóa cả representation khi split","https://educationaldatamining.org/edm2026/proceedings/2026.EDM.full-papers.251/index.html"
